cve_id,datePublished,dateUpdated,descriptions,product_l,epss_l,percentile,priority_l,cweId,note_id,Note#,Title,Priority,CVSS,priority,epss,cvss,cvss_version,cvss_severity,kev,ransomware,kev_source,cpe,vendor,product,vector,sap_note_year
CVE-2025-42917,2025-09-09T02:09:10.768Z,2025-09-10T03:56:09.320Z,"SAP HCM Approve Timesheets Fiori 2.0 application does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges. This issue has a significant impact on the application's integrity, while confidentiality and availability remain unaffected.",SAP HCM (Approve Timesheets Fiori 2.0 application),0.000290000,0.068090000,B,CWE-862,['3643832'],3643832,[ CVE-2025-42917 ] Missing Authorization check in SAP HCM (Approve Timesheets Fiori 2.0 application) Product - SAP HCM (Approve Timesheets Fiori 2.0 application) Version - GBX01HR5 605,Medium,6.5,Priority 2,0.00029,6.5,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,2025
CVE-2023-5072,2023-10-12T16:13:27.974Z,2025-02-13T17:19:28.975Z,Denial of Service  in JSON-Java versions up to and including 20230618.  A bug in the parser means that an input string of modest size can lead to indefinite amounts of memory being used.,n/a,0.005250000,0.660530000,B,CWE-770,[],3611420,"[ CVE-2023-5072 ] Denial of Service (DoS) vulnerability due to outdated JSON library used in SAP BusinessObjects Business Intelligence Platform Product - SAP BusinessObjects Business Intelligence Platform Version - ENTERPRISE 430, 2025, 2027",Medium,6.5,Priority 2,0.00525,7.5,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:a:json-java_project:json-java:*:*:*:*:*:*:*:*,json-java_project,json-java,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2025
CVE-2025-42920,2025-09-09T02:09:30.802Z,2025-09-09T13:35:03.093Z,"Due to a Cross-Site Scripting (XSS) vulnerability in the SAP Supplier Relationship Management, an unauthenticated attacker could generate a malicious link and make it publicly accessible. If an authenticated victim clicks on the link, the injected input is processed during the page generation, resulting in the execution of malicious content. This execution allows the attacker to access and modify information within the victim's browser scope, impacting confidentiality and integrity, while availability remains unaffected.",SAP Supplier Relationship Management,0.001000000,0.283490000,B,CWE-79,['3647098'],3647098,"[ CVE-2025-42920 ] Cross-Site Scripting (XSS) vulnerability in SAP Supplier Relationship Management Product - SAP Supplier Relationship Management Version – SRM_SERVER 700, 701, 702, 713, 714",Medium,6.1,Priority 2,0.001,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2025
CVE-2025-42938,2025-09-09T02:11:33.755Z,2025-09-09T13:26:55.759Z,"Due to a Cross-Site Scripting (XSS) vulnerability in the SAP NetWeaver ABAP Platform, an unauthenticated attacker could generate a malicious link and make it publicly accessible. If an authenticated user clicks on this link, the injected input is processed during the website�s page generation, resulting in the creation of malicious content. When executed, this content allows the attacker to access or modify information within the victim's browser scope, impacting the confidentiality and integrity�while availability remains unaffected.",SAP NetWeaver ABAP Platform,0.000800000,0.244600000,B,CWE-79,['3629325'],3629325,"[ CVE-2025-42938 ] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver ABAP Platform Product - SAP NetWeaver ABAP Platform Version - S4CRM 100, 200, 204, 205, 206, S4CEXT 109, BBPCRM 713, 714",Medium,6.1,Priority 2,0.0008,6.1,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2025
CVE-2025-42915,2025-09-09T02:06:32.797Z,2025-09-09T13:47:56.618Z,"Fiori app Manage Payment Blocks does not perform the necessary authorization checks, allowing an attacker with basic user privileges to abuse functionalities that should be restricted to specific user groups.This issue could impact both the confidentiality and integrity of the application without affecting the availability.",Fiori app (Manage Payment Blocks),0.000280000,0.063090000,D,CWE-862,['3409013'],3409013,"[ CVE-2025-42915 ] Missing Authorization Check in Fiori app (Manage Payment Blocks) Product - Fiori app (Manage Payment Blocks) Version - S4CORE 107, 108",Medium,5.4,Priority 4,0.00028,5.4,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2025
CVE-2025-42926,2025-09-09T02:10:03.616Z,2025-09-09T14:27:20.231Z,"SAP NetWeaver Application Server Java does not perform an authentication check when an attacker attempts to access internal files within the web application.Upon successfully exploitation, an unauthenticated attacker could access these files to gather additional sensitive information about the system.This vulnerability has a low impact on confidentiality and does not affect the integrity or availability of the server.",SAP NetWeaver Application Server Java,0.000680000,0.214270000,D,CWE-306,['3619465'],3619465,[ CVE-2025-42926 ] Missing Authentication check in SAP NetWeaver Application Server Java Product - SAP NetWeaver Application Server Java Version - WD-RUNTIME 7.50,Medium,5.3,Priority 4,0.00068,5.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2025
CVE-2025-42911,2025-09-09T02:05:56.778Z,2025-09-09T13:51:38.627Z,"SAP NetWeaver (Service Data Download) allows an authenticated user to call a remote-enabled function module, which could grant access to information about the SAP system and operating system. This leads to a low impact on confidentiality, with no effect on the integrity and availability of the application",SAP NetWeaver (Service Data Download),0.000280000,0.063090000,D,CWE-862,['3627644'],3627644,"[ CVE-2025-42911 ] Missing Authorization check in SAP NetWeaver (Service Data Download) Product - SAP NetWeaver (Service Data Download) Version - SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 751, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758, SAP_BASIS 816",Medium,5.0,Priority 4,0.00028,5.0,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N,2025
CVE-2025-42961,2025-07-08T00:35:26.695Z,2025-07-08T16:14:11.950Z,"Due to a missing authorization check in SAP NetWeaver Application server for ABAP, an authenticated user with high privileges could exploit the insufficient validation of user permissions to access sensitive database tables. By leveraging overly permissive access configurations, unauthorized reading of critical data is possible, resulting in a significant impact on the confidentiality of the information stored. However, the integrity and availability of the system remain unaffected.",SAP NetWeaver Application Server for ABAP,0.000320000,0.074980000,D,CWE-862,['3610322'],3610322,"Update to Security Note released on July 2025 Patch Day: [ CVE-2025-42961 ] Missing Authorization check in SAP NetWeaver Application Server for ABAP Product - SAP NetWeaver Application Server for ABAP Version – SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 751, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758, SAP_BASIS 816",Medium,4.9,Priority 4,0.00032,4.9,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,2025
CVE-2025-42925,2025-09-09T02:09:55.833Z,2025-09-09T14:27:03.197Z,"Due to the lack of randomness in assigning Object Identifiers in the SAP NetWeaver AS JAVA IIOP service, an authenticated attacker with low privileges could predict the identifiers by conducting a brute force search. By leveraging knowledge of several identifiers generated close to the same time, the attacker could determine a desired identifier which could enable them to access limited system information. This poses a low risk to confidentiality without impacting the integrity or availability of the service.",SAP NetWeaver AS Java (IIOP Service),0.000300000,0.071210000,D,CWE-341,['3640477'],3640477,[ CVE-2025-42925 ] Predictable Object Identifier vulnerability in SAP NetWeaver AS Java (IIOP Service) Product - SAP NetWeaver AS Java (IIOP Service) Version – SERVERCORE 7.50,Medium,4.3,Priority 4,0.0003,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2025
CVE-2025-42923,2025-09-09T02:09:47.744Z,2025-09-09T14:31:26.231Z,"Due to insufficient CSRF protection in SAP Fiori App Manage Work Center Groups, an authenticated user could be tricked by an attacker to send unintended request to the web server. This has low impact on integrity and no impact on confidentiality and availability of the application.",SAP Fiori App (F4044 Manage Work Center Groups),0.000160000,0.023720000,D,CWE-352,['3450692'],3450692,"[ CVE-2025-42923 ] Cross-Site Request Forgery (CSRF) vulnerability in SAP Fiori App (F4044 Manage Work Center Groups) Product - SAP Fiori App (F4044 Manage Work Center Groups) Version - UIS4HOP1 600, 700, 800, 900",Medium,4.3,Priority 4,0.00016,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,2025
CVE-2025-42918,2025-09-09T02:09:18.915Z,2025-09-09T13:41:50.007Z,"SAP NetWeaver Application Server for ABAP allows authenticated users with access to background processing to gain unauthorized read access to profile parameters.  This results in a low impact on confidentiality, with no impact on integrity or availability",SAP NetWeaver Application Server for ABAP (Background Processing),0.000280000,0.063090000,D,CWE-862,['3623504'],3623504,"[ CVE-2025-42918 ] Missing Authorization check in SAP NetWeaver Application Server for ABAP (Background Processing) Product - SAP NetWeaver Application Server for ABAP (Background Processing) Version - SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 751, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758, SAP_BASIS 816",Medium,4.3,Priority 4,0.00028,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2025
CVE-2025-31331,2025-04-08T07:15:23.750Z,2025-04-08T13:15:55.752Z,"SAP NetWeaver allows an attacker to bypass authorization checks, enabling them to view portions of ABAP code that would normally require additional validation. Once logged into the ABAP system, the attacker can run a specific transaction that exposes sensitive system code without proper authorization. This vulnerability compromises the confidentiality.",SAP NetWeaver,0.000290000,0.064270000,D,CWE-863,['3577131'],3577131,"Update to Security Note released on April 2025 Patch Day: [ CVE-2025-31331 ] Authorization Bypass vulnerability in SAP NetWeaver Product - SAP NetWeaver Version - SAP_ABA 700, 701, 702, 731, 740, 750, 751, 752, 75C, 75D, 75E, 75F, 75G, 75H, 75I",Medium,4.3,Priority 4,0.00029,4.3,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2025
CVE-2025-42941,2025-08-12T02:05:27.846Z,2025-08-12T14:05:20.093Z,"SAP Fiori (Launchpad) is vulnerable to Reverse Tabnabbing vulnerability due to inadequate external navigation protections for its link (<a>) elements. An attacker with administrative user privileges could exploit this by leveraging compromised or malicious pages. While administrative access is necessary for certain configurations, the attacker does not need the administrative privileges to execute the attack. This could result in unintended manipulation of user sessions or exposure of sensitive information. The issue impacts the confidentiality and integrity of the system, but the availability remains unaffected.",SAP Fiori (Launchpad),0.000270000,0.059790000,D,CWE-1022,['3624943'],3624943,Update to Security Note released on August 2025 Patch Day: [ CVE-2025-42941 ] Reverse Tabnabbing vulnerability in SAP Fiori (Launchpad) Product - SAP Fiori (Launchpad) Version - SAP_UI 754,Low,3.5,Priority 4,0.00027,3.5,CVSS V31,LOW,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:L/I:L/A:N,2025
CVE-2025-42927,2025-09-09T02:10:11.874Z,2025-09-09T14:18:59.720Z,"SAP NetWeaver AS Java application uses Adobe Document Service, installed with a vulnerable version of OpenSSL.Successful exploitation of known vulnerabilities in the outdated OpenSSL library would allow user with high system privileges to access and modify system information.This vulnerability has a low impact on confidentiality and integrity, with no impact on availability.",SAP NetWeaver AS Java (Adobe Document Service),0.000140000,0.017690000,D,CWE-1395,['3525295'],3525295,[ CVE-2025-42927 ] Information Disclosure due to Outdated OpenSSL Version in SAP NetWeaver AS Java (Adobe Document Service) Product - SAP NetWeaver AS Java (Adobe Document Service) Version - ADSSAP 7.50,Low,3.4,Priority 4,0.00014,3.4,CVSS V31,LOW,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:N,2025
CVE-2024-13009,2025-05-08T17:29:31.380Z,2025-05-08T18:56:39.446Z,"In Eclipse Jetty versions 9.4.0 to 9.4.56 a buffer can be incorrectly released when confronted with a gzip error when inflating a request
body. This can result in corrupted and/or inadvertent sharing of data between requests.",Jetty,0.000490000,0.148430000,B,CWE-404,[],3632154,"[ CVE-2024-13009 ] Potential Improper Resource Release vulnerability in SAP Commerce Cloud Product - SAP Commerce Cloud Version - HY_COM 2205, COM_CLOUD 2211",Low,3.1,Priority 2,0.00049,7.2,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:a:eclipse:jetty:*:*:*:*:*:*:*:*,eclipse,jetty,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,2025
CVE-2025-42944,2025-09-09T02:11:39.754Z,2025-09-10T03:55:57.710Z,"Due to a deserialization vulnerability in SAP NetWeaver, an unauthenticated attacker could exploit the system through the RMI-P4 module by submitting malicious payload to an open port. The deserialization of such untrusted Java objects could lead to arbitrary OS command execution, posing a high impact to the application's confidentiality, integrity, and availability.",SAP Netweaver (RMI-P4),0.000370000,0.098980000,A+,CWE-502,['3634501'],3634501,Update to Security Note released on September 2025 Patch Day: [ CVE-2025-42944 ] Insecure Deserialization vulnerability in SAP Netweaver (RMI-P4) Product - SAP Netweaver (RMI-P4) Version - SERVERCORE 7.50,Critical,10.0,Priority 2,0.00037,10.0,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2025-42922,2025-09-09T02:09:38.727Z,2025-09-10T03:55:58.525Z,"SAP NetWeaver AS Java allows an attacker authenticated as a non-administrative user to use a flaw in an available service to upload an arbitrary file. This file when executed can lead to a full compromise of confidentiality, integrity and availability of the system.",SAP NetWeaver AS Java (Deploy Web Service),0.000530000,0.163640000,B,CWE-94,['3643865'],3643865,Update to Security Note released on September 2025 Patch Day: [ CVE-2025-42922 ] Insecure File Operations vulnerability in SAP NetWeaver AS Java (Deploy Web Service) Product - SAP NetWeaver AS Java (Deploy Web Service) Version - J2EE-APPS 7.50,Critical,9.9,Priority 2,0.00053,9.9,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025
