CVSS,Note#,Priority,Title,cpe,cve_id,cvss,cvss_severity,cvss_version,cweId,datePublished,dateUpdated,descriptions,epss,epss_l,kev,kev_source,note_id,percentile,priority,priority_l,product,product_l,ransomware,sap_note_year,vector,vendor
7.5,CVE-2003-0939,High,"eo420_GetStringFromVarPart in veo420.c for SAP database server (SAP DB) 7.4.03.27 and earlier may allow remote attackers to execute arbitrary code via a connect packet with a 256 byte segment to the niserver (aka serv.exe) process on TCP port 7269, which prevents the server from NULL terminating the string and leads to a buffer overflow.",cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0939,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00,2025-12-20,"eo420_GetStringFromVarPart in veo420.c for SAP database server (SAP DB) 7.4.03.27 and earlier may allow remote attackers to execute arbitrary code via a connect packet with a 256 byte segment to the niserver (aka serv.exe) process on TCP port 7269, which prevents the server from NULL terminating the string and leads to a buffer overflow.",0.00657,0.00657,,VULNCHECK,[],0.7964,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
5.0,CVE-2003-0940,Medium,Directory traversal vulnerability in sqlfopenc for web-tools in SAP DB before 7.4.03.30 allows remote attackers to read arbitrary files via .. (dot dot) sequences in a URL.,cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0940,5.0,MEDIUM,CVSS 2.0,,2003-11-21T05:00:00Z,2025-12-20,Directory traversal vulnerability in sqlfopenc for web-tools in SAP DB before 7.4.03.30 allows remote attackers to read arbitrary files via .. (dot dot) sequences in a URL.,0.05234,0.05234,,VULNCHECK,[],0.92981,Priority 4,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:N/A:N,sap
7.5,CVE-2003-0941,High,web-tools in SAP DB before 7.4.03.30 allows remote attackers to access the Web Agent Administration pages and modify configuration via a direct request to waadmin.wa.,cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0941,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00Z,2025-12-20,web-tools in SAP DB before 7.4.03.30 allows remote attackers to access the Web Agent Administration pages and modify configuration via a direct request to waadmin.wa.,0.0061,0.0061,,VULNCHECK,[],0.78714,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-0942,High,Buffer overflow in Web Agent Administration service in web-tools for SAP DB before 7.4.03.30 allows remote attackers to execute arbitrary code via a long Name parameter to waadmin.wa.,cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0942,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00Z,2025-12-20,Buffer overflow in Web Agent Administration service in web-tools for SAP DB before 7.4.03.30 allows remote attackers to execute arbitrary code via a long Name parameter to waadmin.wa.,0.00564,0.00564,,VULNCHECK,[],0.77844,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-0943,High,"web-tools in SAP DB before 7.4.03.30 installs several services that are enabled by default, which could allow remote attackers to obtain potentially sensitive information or redirect attacks against internal databases via (1) waecho, (2) Web SQL Interface (websql), or (3) Web Database Manager (webdbm).",cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0943,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00Z,2025-12-20,"web-tools in SAP DB before 7.4.03.30 installs several services that are enabled by default, which could allow remote attackers to obtain potentially sensitive information or redirect attacks against internal databases via (1) waecho, (2) Web SQL Interface (websql), or (3) Web Database Manager (webdbm).",0.0061,0.0061,,VULNCHECK,[],0.78714,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-0944,High,Buffer overflow in the WAECHO default service in web-tools in SAP DB before 7.4.03.30 allows remote attackers to execute arbitrary code via a URL with a long requestURI.,cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0944,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00Z,2025-12-20,Buffer overflow in the WAECHO default service in web-tools in SAP DB before 7.4.03.30 allows remote attackers to execute arbitrary code via a URL with a long requestURI.,0.00564,0.00564,,VULNCHECK,[],0.77844,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-0945,High,"The Web Database Manager in web-tools for SAP DB before 7.4.03.30 generates predictable session IDs, which allows remote attackers to conduct unauthorized activities.",cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0945,7.5,HIGH,CVSS 2.0,,2003-11-21T05:00:00,2025-12-20,"The Web Database Manager in web-tools for SAP DB before 7.4.03.30 generates predictable session IDs, which allows remote attackers to conduct unauthorized activities.",0.00557,0.00557,,VULNCHECK,[],0.77687,Priority 2,D,sap_db,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.2,CVE-2003-1033,High,"The (1) instdbmsrv and (2) instlserver programs in SAP DB Development Tools 7.x trust the user-provided INSTROOT environment variable as a path when assigning setuid permissions to the lserver program, which allows local users to gain root privileges via a modified INSTROOT that points to a malicious dbmsrv or lserver program.",cpe:2.3:a:sap:sap_db:7.3.00:*:*:*:*:*:*:*,CVE-2003-1033,7.2,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"The (1) instdbmsrv and (2) instlserver programs in SAP DB Development Tools 7.x trust the user-provided INSTROOT environment variable as a path when assigning setuid permissions to the lserver program, which allows local users to gain root privileges via a modified INSTROOT that points to a malicious dbmsrv or lserver program.",0.00042,0.00042,,VULNCHECK,[],0.05056,Priority 2,D,sap_db,,,2003,AV:L/AC:L/Au:N/C:C/I:C/A:C,sap
4.6,CVE-2003-1034,Medium,"The RPM installation of SAP DB 7.x creates the (1) dbmsrv or (2) lserver programs with world-writable permissions, which allows local users to gain privileges by modifying those programs.",cpe:2.3:a:sap:sap_db:7.3.00:*:*:*:*:*:*:*,CVE-2003-1034,4.6,MEDIUM,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"The RPM installation of SAP DB 7.x creates the (1) dbmsrv or (2) lserver programs with world-writable permissions, which allows local users to gain privileges by modifying those programs.",0.00042,0.00042,,VULNCHECK,[],0.05056,Priority 4,D,sap_db,,,2003,AV:L/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-1035,High,"The default installation of SAP R/3 46C/D allows remote attackers to bypass account locking by using the RFC API instead of the SAPGUI to conduct a brute force password guessing attack, which does not lock out the account like the SAPGUI does.",cpe:2.3:a:sap:sap_r_3:*:*:*:*:*:*:*:*,CVE-2003-1035,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"The default installation of SAP R/3 46C/D allows remote attackers to bypass account locking by using the RFC API instead of the SAPGUI to conduct a brute force password guessing attack, which does not lock out the account like the SAPGUI does.",0.00952,0.00952,,VULNCHECK,[],0.83175,Priority 2,D,sap_r_3,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-1036,High,"Multiple buffer overflows in the AGate component for SAP Internet Transaction Server (ITS) allow remote attackers to execute arbitrary code via long (1) ~command, (2) ~runtimemode, or (3) ~session parameters, or (4) a long HTTP Content-Type header.",cpe:2.3:a:sap:internet_transaction_server:*:*:*:*:*:*:*:*,CVE-2003-1036,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"Multiple buffer overflows in the AGate component for SAP Internet Transaction Server (ITS) allow remote attackers to execute arbitrary code via long (1) ~command, (2) ~runtimemode, or (3) ~session parameters, or (4) a long HTTP Content-Type header.",0.02423,0.02423,,VULNCHECK,[],0.89774,Priority 2,D,internet_transaction_server,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2003-1037,High,"Format string vulnerability in the WGate component for SAP Internet Transaction Server (ITS) allows remote attackers to execute arbitrary code via a high ""trace level.""",cpe:2.3:a:sap:internet_transaction_server:*:*:*:*:*:*:*:*,CVE-2003-1037,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"Format string vulnerability in the WGate component for SAP Internet Transaction Server (ITS) allows remote attackers to execute arbitrary code via a high ""trace level.""",0.02883,0.02883,,VULNCHECK,[],0.9066,Priority 2,D,internet_transaction_server,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
5.0,CVE-2003-1038,Medium,"The AGate component for SAP Internet Transaction Server (ITS) allows remote attackers to obtain sensitive information via a ~command parameter with an AgateInstallCheck value, which provides a list of installed DLLs and full pathnames.",cpe:2.3:a:sap:internet_transaction_server:*:*:*:*:*:*:*:*,CVE-2003-1038,5.0,MEDIUM,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"The AGate component for SAP Internet Transaction Server (ITS) allows remote attackers to obtain sensitive information via a ~command parameter with an AgateInstallCheck value, which provides a list of installed DLLs and full pathnames.",0.00564,0.00564,,VULNCHECK,[],0.77842,Priority 4,D,internet_transaction_server,,,2003,AV:N/AC:L/Au:N/C:P/I:N/A:N,sap
7.5,CVE-2003-1039,High,"Multiple buffer overflows in the mySAP.com architecture for SAP allow remote attackers to execute arbitrary code via a long HTTP Host header to (1) Message Server, (2) Web Dispatcher, or (3) Application Server.",cpe:2.3:a:sap:mysap_business_suite:*:*:*:*:*:*:*:*,CVE-2003-1039,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"Multiple buffer overflows in the mySAP.com architecture for SAP allow remote attackers to execute arbitrary code via a long HTTP Host header to (1) Message Server, (2) Web Dispatcher, or (3) Application Server.",0.01722,0.01722,,VULNCHECK,[],0.87687,Priority 2,D,mysap_business_suite,,,2003,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
5.0,CVE-2004-0931,Medium,"MySQL MaxDB before 7.5.00.18 allows remote attackers to cause a denial of service (crash) via an HTTP request to webdbm with high ASCII values in the Server field, which triggers an assert error in the IsAscii7 function.",cpe:2.3:a:mysql:maxdb:7.5.00.08:*:*:*:*:*:*:*,CVE-2004-0931,5.0,MEDIUM,CVSS 2.0,,2005-01-19T05:00:00,2025-12-20,"MySQL MaxDB before 7.5.00.18 allows remote attackers to cause a denial of service (crash) via an HTTP request to webdbm with high ASCII values in the Server field, which triggers an assert error in the IsAscii7 function.",0.01122,0.01122,,VULNCHECK,[],0.84565,Priority 4,D,maxdb,,,2004,AV:N/AC:L/Au:N/C:N/I:N/A:P,mysql
5.0,CVE-2005-0082,Medium,"The sapdbwa_GetUserData function in MySQL MaxDB 7.5.0.0, and other versions before 7.5.0.21, allows remote attackers to cause a denial of service (crash) via invalid parameters to the WebDAV handler code, which triggers a null dereference that causes the SAP DB Web Agent to crash.",cpe:2.3:a:mysql:maxdb:7.5.00:*:*:*:*:*:*:*,CVE-2005-0082,5.0,MEDIUM,CVSS 2.0,,2005-01-20T05:00:00Z,2025-12-20,"The sapdbwa_GetUserData function in MySQL MaxDB 7.5.0.0, and other versions before 7.5.0.21, allows remote attackers to cause a denial of service (crash) via invalid parameters to the WebDAV handler code, which triggers a null dereference that causes the SAP DB Web Agent to crash.",0.00182,0.00182,,VULNCHECK,[],0.56138,Priority 4,D,maxdb,,,2005,AV:N/AC:L/Au:N/C:N/I:N/A:P,mysql
5.0,CVE-2005-1691,Medium,"Directory traversal vulnerability in Internet Graphics Server in SAP before 6.40 Patch 11 allows remote attackers to read arbitrary files via "".."" sequences in an HTTP GET request.",cpe:2.3:a:sap:sap_r_3:*:*:*:*:*:*:*:*,CVE-2005-1691,5.0,MEDIUM,CVSS 2.0,,2005-07-26T04:00:00Z,2025-12-20,"Directory traversal vulnerability in Internet Graphics Server in SAP before 6.40 Patch 11 allows remote attackers to read arbitrary files via "".."" sequences in an HTTP GET request.",0.04915,0.04915,,VULNCHECK,[],0.92777,Priority 4,D,sap_r_3,,,2005,AV:N/AC:L/Au:N/C:P/I:N/A:N,sap
5.0,CVE-2005-3633,Medium,HTTP response splitting vulnerability in frameset.htm in SAP Web Application Server (WAS) 6.10 through 7.00 allows remote attackers to inject arbitrary HTML headers via the sap-exiturl parameter.,cpe:2.3:a:sap:sap_web_application_server:6.10:*:*:*:*:*:*:*,CVE-2005-3633,5.0,MEDIUM,CVSS 2.0,,2005-11-16T21:17:00,2025-12-20,HTTP response splitting vulnerability in frameset.htm in SAP Web Application Server (WAS) 6.10 through 7.00 allows remote attackers to inject arbitrary HTML headers via the sap-exiturl parameter.,0.00864,0.00864,,VULNCHECK,['3156438'],0.82296,Priority 4,D,sap_web_application_server,,,2005,AV:N/AC:L/Au:N/C:N/I:P/A:N,sap
5.0,CVE-2005-3634,Medium,frameset.htm in the BSP runtime in SAP Web Application Server (WAS) 6.10 through 7.00 allows remote attackers to log users out and redirect them to arbitrary web sites via a close command in the sap-sessioncmd parameter and a URL in the sap-exiturl parameter.,cpe:2.3:a:sap:sap_web_application_server:6.10:*:*:*:*:*:*:*,CVE-2005-3634,5.0,MEDIUM,CVSS 2.0,,2005-11-16T21:17:00,2025-12-20,frameset.htm in the BSP runtime in SAP Web Application Server (WAS) 6.10 through 7.00 allows remote attackers to log users out and redirect them to arbitrary web sites via a close command in the sap-sessioncmd parameter and a URL in the sap-exiturl parameter.,0.05153,0.05153,,VULNCHECK,[],0.92934,Priority 4,D,sap_web_application_server,,,2005,AV:N/AC:L/Au:N/C:N/I:P/A:N,sap
4.3,CVE-2005-3635,Medium,Multiple cross-site scripting (XSS) vulnerabilities in SAP Web Application Server (WAS) 6.10 through 7.00 allow remote attackers to inject arbitrary web script or HTML via (1) the sap-syscmd in sap-syscmd and (2) the BspApplication field in the SYSTEM PUBLIC test application.,cpe:2.3:a:sap:sap_web_application_server:6.10:*:*:*:*:*:*:*,CVE-2005-3635,4.3,MEDIUM,CVSS 2.0,,2005-11-16T21:17:00,2025-12-20,Multiple cross-site scripting (XSS) vulnerabilities in SAP Web Application Server (WAS) 6.10 through 7.00 allow remote attackers to inject arbitrary web script or HTML via (1) the sap-syscmd in sap-syscmd and (2) the BspApplication field in the SYSTEM PUBLIC test application.,0.01383,0.01383,,VULNCHECK,[],0.86218,Priority 4,D,sap_web_application_server,,,2005,AV:N/AC:M/Au:N/C:N/I:P/A:N,sap
4.3,CVE-2005-3636,Medium,Cross-site scripting (XSS) vulnerability in SAP Web Application Server (WAS) 6.10 allows remote attackers to inject arbitrary web script or HTML via Error Pages.,cpe:2.3:a:sap:sap_web_application_server:6.10:*:*:*:*:*:*:*,CVE-2005-3636,4.3,MEDIUM,CVSS 2.0,,2005-11-16T21:17:00,2025-12-20,Cross-site scripting (XSS) vulnerability in SAP Web Application Server (WAS) 6.10 allows remote attackers to inject arbitrary web script or HTML via Error Pages.,0.01058,0.01058,,VULNCHECK,[],0.84083,Priority 4,D,sap_web_application_server,,,2005,AV:N/AC:M/Au:N/C:N/I:P/A:N,sap
7.5,CVE-2005-4815,High,"SAP 6.4 before 6.40 patch 4, 6.2 before 6.20 patch 1364, 4.6 before 4.6D patch 1767, 45 before 45B patch 913, 40 before 40B patch 1008, and 31 before 31I patch 735 do not properly restrict process execution by lnaxdm/sapsys, which allows remote attackers to execute arbitrary code via a certain UDP packet that ends with the name of a local executable file, aka the ""FX SAP R/3 gwrd vuln.""",cpe:2.3:a:sap:sap_r_3:4.6_before_patch_1767:*:*:*:*:*:*:*,CVE-2005-4815,7.5,HIGH,CVSS 2.0,,2006-11-21T23:00:00,2025-12-20,"SAP 6.4 before 6.40 patch 4, 6.2 before 6.20 patch 1364, 4.6 before 4.6D patch 1767, 45 before 45B patch 913, 40 before 40B patch 1008, and 31 before 31I patch 735 do not properly restrict process execution by lnaxdm/sapsys, which allows remote attackers to execute arbitrary code via a certain UDP packet that ends with the name of a local executable file, aka the ""FX SAP R/3 gwrd vuln.""",0.04721,0.04721,,VULNCHECK,[],0.92635,Priority 2,D,sap_r_3,,,2005,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
4.0,CVE-2006-0731,Medium,"WmRoot/adapter-index.dsp in SAP Business Connector Core Fix 7 and earlier allows remote attackers to conduct spoofing (phishing) attacks via an absolute URL in the url parameter, which loads the URL inside a frame.",cpe:2.3:a:sap:business_connector:*:*:*:*:*:*:*:*,CVE-2006-0731,4.0,MEDIUM,CVSS 2.0,,2006-02-16T11:00:00,2025-12-20,"WmRoot/adapter-index.dsp in SAP Business Connector Core Fix 7 and earlier allows remote attackers to conduct spoofing (phishing) attacks via an absolute URL in the url parameter, which loads the URL inside a frame.",0.01773,0.01773,,VULNCHECK,[],0.87851,Priority 4,D,business_connector,,,2006,AV:N/AC:H/Au:N/C:P/I:P/A:N,sap
6.4,CVE-2006-0732,Medium,"Directory traversal vulnerability in SAP Business Connector (BC) 4.6 and 4.7 allows remote attackers to read or delete arbitrary files via the fullName parameter to (1) sapbc/SAP/chopSAPLog.dsp or (2) invoke/sap.monitor.rfcTrace/deleteSingle. Details will be updated after the grace period has ended. NOTE: SAP Business Connector is an OEM version of webMethods Integration Server. webMethods states that this issue can only occur when the product is installed as root/admin, and if the attacker has access to a general purpose port; however, both are discouraged in the documentation. In addition, the attacker must already have acquired administrative privileges through other means.",cpe:2.3:a:sap:business_connector:4.6:*:*:*:*:*:*:*,CVE-2006-0732,6.4,MEDIUM,CVSS 2.0,,2006-02-16T11:00:00,2025-12-20,"Directory traversal vulnerability in SAP Business Connector (BC) 4.6 and 4.7 allows remote attackers to read or delete arbitrary files via the fullName parameter to (1) sapbc/SAP/chopSAPLog.dsp or (2) invoke/sap.monitor.rfcTrace/deleteSingle.  Details will be updated after the grace period has ended.  NOTE: SAP Business Connector is an OEM version of webMethods Integration Server.  webMethods states that this issue can only occur when the product is installed as root/admin, and if the attacker has access to a general purpose port; however, both are discouraged in the documentation.  In addition, the attacker must already have acquired administrative privileges through other means.",0.00618,0.00618,,VULNCHECK,[],0.7887,Priority 2,D,business_connector,,,2006,AV:N/AC:L/Au:N/C:P/I:P/A:N,sap
6.4,CVE-2006-1039,Medium,"SAP Web Application Server (WebAS) Kernel before 7.0 allows remote attackers to inject arbitrary bytes into the HTTP response and obtain sensitive authentication information, or have other impacts, via a "";%20"" followed by encoded HTTP headers.",cpe:2.3:a:sap:sap_web_application_server:6.10:*:*:*:*:*:*:*,CVE-2006-1039,6.4,MEDIUM,CVSS 2.0,CWE-94,2006-03-07T11:00:00,2025-12-20,"SAP Web Application Server (WebAS) Kernel before 7.0 allows remote attackers to inject arbitrary bytes into the HTTP response and obtain sensitive authentication information, or have other impacts, via a "";%20"" followed by encoded HTTP headers.",0.01347,0.01347,,VULNCHECK,[],0.86033,Priority 2,D,sap_web_application_server,,,2006,AV:N/AC:L/Au:N/C:P/I:P/A:N,sap
10.0,CVE-2006-2547,High,"Unspecified vulnerability in the sapdba command in SAP with Informix before 700, and 700 up to patch 100, allows local users to execute arbitrary commands via unknown vectors related to ""insecure environment variable"" handling.",cpe:2.3:a:sap:sapdba:*:*:*:*:*:*:*:*,CVE-2006-2547,10.0,HIGH,CVSS 2.0,,2006-05-23T10:00:00,2025-12-20,"Unspecified vulnerability in the sapdba command in SAP with Informix before 700, and 700 up to patch 100, allows local users to execute arbitrary commands via unknown vectors related to ""insecure environment variable"" handling.",0.00748,0.00748,,VULNCHECK,[],0.80965,Priority 2,D,sapdba,,,2006,AV:N/AC:L/Au:N/C:C/I:C/A:C,sap
