cve_id,priority,epss,cvss,cvss_version,cvss_severity,kev,kev_source,cpe,vendor,product,vector,descriptions,product_l,epss_l,percentile,priority_l,cweId,_merge,year
CVE-2021-21464,Priority 4,0.00097,4.3,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated PCX file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.000970000,0.412650000,D,Improper Input Validation,both,2021
CVE-2021-21449,Priority 2,0.00423,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated IFF file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004460000,0.754570000,D,Improper Input Validation,both,2021
CVE-2021-21469,Priority 2,0.00178,7.5,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver_master_data_management:7.10:*:*:*:*:*:*:*,sap,netweaver_master_data_management,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"When security guidelines for SAP NetWeaver Master Data Management running on windows have not been thoroughly reviewed, it might be possible for an external operator to try and set custom paths in the MDS server configuration. When no adequate protection has been enforced on any level (e.g., MDS Server password not set, network and OS configuration not properly secured, etc.), a malicious user might define UNC paths which could then be exploited to put the system at risk using a so-called SMB relay attack and obtain highly sensitive data, which leads to Information Disclosure.",SAP NetWeaver Master Data Management,0.001780000,0.556160000,D,Information Disclosure,both,2021
CVE-2021-21457,Priority 2,0.00423,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated IFF file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004460000,0.754570000,D,Improper Input Validation,both,2021
CVE-2021-21459,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated IFF file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.003900000,0.737400000,D,Improper Input Validation,both,2021
CVE-2021-21448,Priority 2,0.00044,6.5,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:graphical_user_interface:7.60:*:*:*:*:windows:*:*,sap,graphical_user_interface,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"SAP GUI for Windows, version - 7.60, allows an attacker to spoof logon credentials for Application Server ABAP backend systems in the client PCs memory. Under certain conditions the attacker can access information which would otherwise be restricted. The exploit can only be executed locally on the client PC and not via Network and the attacker needs at least user authorization of the Operating System user of the victim.",SAP GUI FOR WINDOWS,0.000440000,0.132380000,D,Information Disclosure,both,2021
CVE-2021-21452,Priority 2,0.00423,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated GIF file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004460000,0.754570000,D,Improper Input Validation,both,2021
CVE-2021-21455,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated DIB file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.003900000,0.737400000,D,Improper Input Validation,both,2021
CVE-2021-21450,Priority 2,0.00423,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated PSD file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004460000,0.754570000,D,Improper Input Validation,both,2021
CVE-2021-21456,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated DIB file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.003900000,0.737400000,D,Improper Input Validation,both,2021
CVE-2021-21462,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated PCX file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.003900000,0.737400000,D,Improper Input Validation,both,2021
CVE-2021-21461,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated BMP file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.003900000,0.737400000,D,Improper Input Validation,both,2021
CVE-2019-0337,Priority 2,0.00084,6.1,CVSS 3.0,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:netweaver_process_integration:7.10:*:*:*:*:*:*:*,sap,netweaver_process_integration,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"Java Proxy Runtime of SAP NetWeaver Process Integration, versions 7.10, 7.11, 7.30, 7.31, 7.40, 7.50, does not sufficiently encode user-controlled inputs and allows an attacker to execute malicious scripts in the url thereby resulting in Reflected Cross-Site Scripting (XSS) vulnerability",SAP NetWeaver Process Integration (Java Proxy Runtime),0.000840000,0.367300000,D,Cross-Site Scripting,both,2021
CVE-2021-21467,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:banking_services:-:*:*:*:*:*:*:*,sap,banking_services,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"SAP Banking Services (Generic Market Data) does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges. An unauthorized User is allowed to display restricted Business Partner Generic Market Data (GMD), due to improper authorization check.",SAP Banking Services (Generic Market Data),0.000540000,0.234870000,D,Missing Authorization Check,both,2021
CVE-2021-21470,Priority 4,0.00047,4.4,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:enterprise_performance_management:2.8:*:*:*:*:sap_analysis_office:*:*,sap,enterprise_performance_management,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:L,"SAP EPM Add-in for Microsoft Office, version - 1010 and SAP EPM Add-in for SAP Analysis Office, version - 2.8, allows an authenticated attacker with user privileges to parse malicious XML files which could result in XXE-based attacks in applications that accept attacker-controlled XML configuration files. This occurs as logging service does not disable XML external entities when parsing configuration files and a successful exploit would result in limited impact on integrity and availability of the application.",SAP EPM Add-in for Microsoft Office,0.000470000,0.179480000,D,XML External Entity Reference (XXE),both,2021
CVE-2021-21475,Priority 2,0.0034,7.5,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver_master_data_management_server:710:*:*:*:*:*:*:*,sap,netweaver_master_data_management_server,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,"Under specific circumstances SAP Master Data Management, versions - 710, 710.750, allows an unauthorized attacker to exploit insufficient validation of path information provided by users, thus characters representing 'traverse to parent directory' are passed through to the file APIs. Due to this Directory Traversal vulnerability the attacker could read content of arbitrary files on the remote server and expose sensitive data.",SAP NetWeaver Master Data Management Server,0.003400000,0.719010000,D,Directory Traversal,both,2021
CVE-2021-21477,Priority 2,0.00318,9.9,CVSS 3.1,CRITICAL,,VULNCHECK,cpe:2.3:a:sap:commerce:1808:*:*:*:*:*:*:*,sap,commerce,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"SAP Commerce Cloud, versions - 1808,1811,1905,2005,2011, enables certain users with required privileges to edit drools rules, an authenticated attacker with this privilege will be able to inject malicious code in the drools rules which when executed leads to Remote Code Execution vulnerability enabling the attacker to compromise the underlying host enabling him to impair confidentiality, integrity and availability of the application.",SAP Commerce,0.003180000,0.709440000,D,Remote Code Execution,both,2021
CVE-2020-26832,Priority 2,0.01387,7.6,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_abap:2011_1_620:*:*:*:*:*:*:*,sap,netweaver_application_server_abap,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:N/A:H,"SAP AS ABAP (SAP Landscape Transformation), versions - 2011_1_620, 2011_1_640, 2011_1_700, 2011_1_710, 2011_1_730, 2011_1_731, 2011_1_752, 2020 and SAP S4 HANA (SAP Landscape Transformation), versions - 101, 102, 103, 104, 105, allows a high privileged user to execute a RFC function module to which access should be restricted, however due to missing authorization an attacker can get access to some sensitive internal information of vulnerable SAP system or to make vulnerable SAP systems completely unavailable.",SAP NetWeaver AS ABAP (SAP Landscape Transformation),0.013870000,0.866430000,D,Missing Authorization,both,2021
CVE-2021-21472,Priority 2,0.00103,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:software_provisioning_manager:1.0:*:*:*:*:*:*:*,sap,software_provisioning_manager,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"SAP Software Provisioning Manager 1.0 (SAP NetWeaver Master Data Management Server 7.1) does not have an option to set password during its installation, this allows an authenticated attacker to perform various security attacks like Directory Traversal, Password Brute force Attack, SMB Relay attack, Security Downgrade.",SAP Software Provisioning Manager 1.0 (SAP NetWeaver Master Data Management Server 7.1),0.001030000,0.426260000,D,Weak Password Requirements,both,2021
CVE-2021-21478,Priority 2,0.00084,6.1,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:web_dynpro_abap:-:*:*:*:*:*:*:*,sap,web_dynpro_abap,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,SAP Web Dynpro ABAP allow an attacker to redirect users to a malicious site due to Reverse Tabnabbing vulnerabilities.,SAP NetWeaver AS ABAP (Web Dynpro ABAP),0.000840000,0.367300000,D,Tabnabbing,both,2021
CVE-2021-21476,Priority 2,0.0009,6.1,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:ui5:*:*:*:*:*:*:*:*,sap,ui5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"SAP UI5 versions before 1.38.49, 1.52.49, 1.60.34, 1.71.31, 1.78.18, 1.84.5, 1.85.4, 1.86.1 allows an unauthenticated attacker to redirect users to a malicious site due to Reverse Tabnabbing vulnerabilities.",SAP UI5,0.000900000,0.391750000,D,Tabnabbing,both,2021
CVE-2021-21444,Priority 2,0.00084,6.1,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:businessobjects_business_intelligence:410:*:*:*:*:*:*:*,sap,businessobjects_business_intelligence,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,"SAP Business Objects BI Platform, versions - 410, 420, 430, allows multiple X-Frame-Options headers entries in the response headers, which may not be predictably treated by all user agents. This could, as a result, nullify the added X-Frame-Options header leading to Clickjacking attack.",SAP Business Objects Business Intelligence Platform (CMC and BI Launchpad),0.000840000,0.367300000,D,Clickjacking,both,2021
CVE-2019-0388,Priority 4,0.0009,5.3,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:ui:2.0:*:*:*:*:netweaver_7.0:*:*,sap,ui,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,"SAP UI5 HTTP Handler (corrected in SAP_UI versions 7.5, 7.51, 7.52, 7.53, 7.54 and SAP UI_700 version 2.0) allows an attacker to manipulate content due to insufficient URL validation.",SAP UI,0.000900000,0.392980000,D,Other,both,2021
CVE-2021-21474,Priority 2,0.00065,6.5,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:hana_database:1.00:*:*:*:*:*:*:*,sap,hana_database,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,"SAP HANA Database, versions - 1.0, 2.0, accepts SAML tokens with MD5 digest, an attacker who manages to obtain an MD5-digest signed SAML Assertion issued for an SAP HANA instance might be able to tamper with it and alter it in a way that the digest continues to be the same and without invalidating the digital signature, this allows them to impersonate as user in HANA database and be able to read the contents in the database.",SAP HANA Database,0.000650000,0.291420000,D,Improper Authentication,both,2021
CVE-2021-21481,Priority 2,0.00077,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver:7.10:*:*:*:*:*:*:*,sap,netweaver,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"The MigrationService, which is part of SAP NetWeaver versions 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, does not perform an authorization check. This might allow an unauthorized attacker to access configuration objects, including such that grant administrative privileges. This could result in complete compromise of system confidentiality, integrity, and availability.",SAP NetWeaver AS JAVA (MigrationService),0.000770000,0.340240000,D,Missing Authorization,both,2021
CVE-2021-21480,Priority 2,0.01811,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:manufacturing_integration_and_intelligence:15.1:*:*:*:*:*:*:*,sap,manufacturing_integration_and_intelligence,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"SAP MII allows users to create dashboards and save them as JSP through the SSCE (Self Service Composition Environment). An attacker can intercept a request to the server, inject malicious JSP code in the request and forward to server. When this dashboard is opened by users having at least SAP_XMII Developer role, malicious content in the dashboard gets executed, leading to remote code execution in the server, which allows privilege escalation. The malicious JSP code can contain certain OS commands, through which an attacker can read sensitive files in the server, modify files or even delete contents in the server thus compromising the confidentiality, integrity and availability of the server hosting the SAP MII application. Also, an attacker authenticated as a developer can use the application to upload and execute a file which will permit them to execute operating systems commands completely compromising the server hosting the application.",SAP Manufacturing Integration and Intelligence,0.018110000,0.884640000,D,Code Execution,both,2021
CVE-2021-27588,Priority 2,0.00083,7.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"When a user opens manipulated HPGL format files received from untrusted sources in SAP 3D Visual Enterprise Viewer version 9, the application crashes and becomes temporarily unavailable to the user until restart of the application.",SAP 3D Visual Enterprise Viewer,0.000830000,0.360950000,D,Improper Input Validation,both,2021
CVE-2020-6207,Priority 1+,0.97432,9.8,CVSS 3.1,CRITICAL,True,VULNCHECK,cpe:2.3:a:sap:solution_manager:7.20:*:*:*:*:*:*:*,sap,solution_manager,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"SAP Solution Manager (User Experience Monitoring), version- 7.2, due to Missing Authentication Check does not perform any authentication for a service resulting in complete compromise of all SMDAgents connected to the Solution Manager.",SAP Solution Manager (User Experience Monitoring),0.974320000,0.999570000,A+,Missing Authentication Check,both,2021
CVE-2021-21488,Priority 2,0.00193,6.5,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:netweaver_knowledge_management:7.01:*:*:*:*:*:*:*,sap,netweaver_knowledge_management,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,"Knowledge Management versions 7.01, 7.02, 7.30, 7.31, 7.40, 7.50 allows a remote attacker with basic privileges to deserialize user-controlled data without verification, leading to insecure deserialization which triggers the attacker’s code, therefore impacting Availability.",SAP NetWeaver Knowledge Management,0.001930000,0.574790000,D,Insecure Deserialization,both,2021
CVE-2021-21484,Priority 2,0.00244,9.8,CVSS 3.1,CRITICAL,,VULNCHECK,cpe:2.3:a:sap:hana:2.0:*:*:*:*:*:*:*,sap,hana,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LDAP authentication in SAP HANA Database version 2.0 can be bypassed if the attached LDAP directory server is configured to enable unauthenticated bind.,SAP HANA,0.002440000,0.651110000,D,Authentication Bypass,both,2021
CVE-2021-21487,Priority 2,0.00104,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:payment_engine:500:*:*:*:*:*:*:*,sap,payment_engine,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"SAP Payment Engine version 500, does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges.",SAP Payment Engine,0.001040000,0.432910000,D,Missing Authorization check,both,2021
